Contract_Element,Industry_Standard,Enterprise_Level,Performance_Based,Recommended_for_Jorge
Standard Contract Length,12 months,12-36 months,6-12 months,12 months initial + 90-day pilot
Termination Notice Period,30-60 days,90 days,30 days,60 days written notice
Data Retention After Termination,7-30 days,30-90 days,30-60 days,"60-day export window, then delete"
Setup/Onboarding Fee,"$500-5,000","$5,000-50,000","$1,000-10,000",Included in monthly fee
Support & Maintenance (Annual %),15-20% of license,18-25% of license,Included in revenue share,Included in base or performance
Annual Price Increase Cap,3-5% CPI,2-3% CPI,N/A - performance tied,"CPI + 2%, maximum 5%"
Liability Cap,12 months fees,24-36 months fees,Variable by value,"$25,000 or 12 months fees"
SLA Uptime Target,99.5%,99.9%,99.5%,99.5% with 5% credit per 0.5%
Support Response Time (Critical),24-48 hours,4-24 hours,12-24 hours,<2 hours for critical
Data Ownership,Customer owns data,Customer owns data,Customer owns data,Jorge owns all client/property data
Early Termination Fee,25-50% remaining,Waived for breach,No fee if performance met,25% if terminating <12 months
Auto-Renewal,"Yes, unless notice","Yes, unless notice",Conditional,Annual auto-renew w/ 60-day opt-out
