Value_Component,Conservative_Scenario,Moderate_Scenario,Aggressive_Scenario
Time Saved per Month (hours),80.0,100.0,120.0
Hourly Value of Agent Time,100.0,125.0,150.0
Monthly Time Savings Value,8000.0,12500.0,18000.0
Lead Quality Improvement Value,2000.0,4000.0,5000.0
Pipeline Growth Value (conservative),3000.0,5000.0,8000.0
Efficiency Improvement Value,1500.0,2500.0,3500.0
TOTAL MONTHLY VALUE DELIVERED,14500.0,24000.0,34500.0
,0.0,0.0,0.0
Recommended Monthly Fee (Hybrid Model),797.0,797.0,797.0
Monthly ROI Percentage,1720.0,3010.0,4230.0
Annual Fee (Base),9564.0,9564.0,9564.0
Annual Value Delivered,174000.0,288000.0,414000.0
Annual ROI Multiple,18.2,30.1,43.3
